Column1,date,title,text,day,month,year,link
10, 30 oktober 2019 kl. 17.49,NULL,"Vid 17.30-tiden uppger polisen att de larmats till en bostad där en man hittats död. En annan man som befunnit sig i lägenheten när polis kom till platsen togs med till förhör och har under onsdagskvällen anhållits, misstänkt för mord. Polisen fick larm om händelsen redan vid klockan 11.04. ",30,oktober,2019,https://www.aftonbladet.se/nyheter/a/8mVJmx/man-hittad-dod-i-bostad-i-goteborg--misstankt-mord
11, 09 mars 2020 kl. 14.46,Två häktade efter mord på kvinna i Göteborg,"En 36-årig man har häktats som misstänkt för att ha mördat en kvinna i stadsdelen Majorna i  Göteborg Kvinnan hittades död i en lägenhet i förra veckan. Mannen greps dagen efter det att kvinnan hittats, skriver Göteborgs-Posten. Enligt åklagaren var mannen och kvinnan bekanta. Personen som misstänks för skyddande av brottsling har enligt polisen sannolikt inte varit inblandad i själva mordet, skriver Dagens Nyheter. ",09,mars,2020,https://www.aftonbladet.se/nyheter/a/2GemPR/tva-haktade-efter-mord-pa-kvinna-i-goteborg
12, 22 oktober 2019 kl. 15.55,NULL,"En 22-årig man har häktats misstänkt för mord efter att en man höggs ihjäl utanför en restaurang i  Göteborg Enligt tidningen förnekar mannen brott och säger sig bara ha diffusa minnesbilder.  Den misstänkte mannen ska inte ha känt offret. De båda ska ha råkat stöta på varandra under en fest, där många var kraftigt berusade.  ",22,oktober,2019,https://www.aftonbladet.se/nyheter/a/XgnX2m/man-haktad--sager-sig-inte-minnas-mord-i-goteborg
13, 02 april 2019 kl. 14.27,Knivman åtalas för mord efter dåd i Göteborg,"Först höggs en man ner på öppen gata, därefter knivhotades en spårvagnsförare och till sist en kund inne i en butik. Nu åtalas en 45-årig man, misstänkt för bland annat mord, rapporterar  Göteborgs Det var i början av oktober som en 21-årig man attackerades i närheten av köpcentret Nordstan i centrala Göteborg. Han fick svåra knivskador och avled efter en vecka på sjukhus. Den misstänkte gärningsmannen ska efter knivdådet ha åkt spårvagn en hållplats, innan han med kniven i handen sprang in i köpcentret och hotade en person i en av butikerna. Strax därefter greps han av polisen. Den 45-årige mannen som nu åtalats var enligt GP nyligen släppt ur fängelse och är tidigare dömd för ett stort antal vålds- och narkotikabrott. ",02,april,2019,https://www.aftonbladet.se/nyheter/a/LA4QBR/knivman-atalas-for-mord-efter-dad-i-goteborg
14, 26 juli 2021 kl. 23.58,NULL,"En person hörde av sig till polisen på måndagskvällen med information om att det fanns en död kropp i ett mindre skogsparti i södra  Göteborg Polisen fick in larmet strax före klockan 21. Enligt uppgifter till Aftonbladet ska kvinnan bland annat ha haft band runt halsen. Enligt uppgifterna ska minst en person ha hämtats in till förhör. Tidigt på tisdagsmorgonen anhölls en man i 40-årsåldern skäligen misstänkt för mord, den lägre misstankegraden.  På tisdagsmorgonen var det fortfarande avspärrningar runt skogspartiet och en teknisk undersökning hade inletts.  ",26,juli,2021,https://www.aftonbladet.se/nyheter/a/O39bgb/dod-kvinna-hittad-i-skogsparti-i-sodra-goteborg--man-anhallen
15, 11 december 2019 kl. 11.11,NULL,"En man hittades på onsdagsförmiddagen utomhus i Lövgärdet i  Göteborg Det rör sig om en ung man som hittills inte har kunnat identifieras, uppger polisen för GT.  ",11,december,2019,https://www.aftonbladet.se/nyheter/a/dOQxwO/man-hittad-dod-utomhus-i-goteborg--misstankt-mord
16, 18 januari 2019 kl. 15.21,Tonårsflicka åtalas för mord i Göteborg,"Mordet skedde den 20 maj på Syster Estrids gata i  Göteborg Mannen satt i sin bil när han besköts av en mängd skott från ett automatvapen. Offrets beskrevs av polisen som en  32-årig gängkriminell.  Bland bevisen som åberopas finns bland annat tekniska analyser av telefoner, telefontrafik och andra digitala spår och material från övervakningskameror, enligt ett pressmeddelande från Åklagarmyndigheten.  Det har också kommit in många användbara uppgifter från allmänheten, vilket i stor grad bidragit till att händelserna har kunnat utredas. Åklagaren gör gällande att de två huvudåtalade fått betalt för att utföra mordet. En okänd person har dagen efter gett dem  Fem personer åtalas för olika former av delaktighet i dådet. Förutom den 17-åriga flickan åtalas ytterligare två flickor i övre tonåren. De har bland annat medverkat i  Efter mordet låste de in både kläder och vapen in i ett skåp på centralstationen i Göteborg.  Den 20-årige man som åtalas för mordet åtalas samtidigt för våldtäkt mot barn. Han har enligt åklagaren haft samlag med en 13-årig flicka. Han är tidigare dömd för bland annat koppleri. ",18,januari,2019,https://www.aftonbladet.se/nyheter/a/rLaOdm/tonarsflicka-atalas-for-mord-i-goteborg
17, 13 maj 2020 kl. 21.26,Skärpt straff för knivmord,"Förra året knivhöggs en ung man till döds i centrala  Göteborg Nu döms mannen till 14 års fängelse för mord och livstids utvisning, skriver Göteborgs-Posten. Dramat inträffade i oktober i fjol utanför en restaurang. Den 23-årige mannen var kvar i närheten av brottsplatsen och pekades ut av flera vittnen. ",13,maj,2020,https://www.aftonbladet.se/nyheter/a/AdAVmM/skarpt-straff-for-knivmord
18,NULL,NULL,NULL,NULL,NULL,NULL,https://live.aftonbladet.se/supernytt/news/5ec81e8c7e2bea00122cc5ca
19, 29 juli 2021 kl. 11.23,NULL,"Den 3 maj förra året hade en 33-årig man lämnat ett födelsedagsfirande på en adress i  Göteborg I flera domar pekades mannen ut som en ledande figur i ett av Göteborgs kriminella nätverk som begår grova våldsdåd. Tidigare i år väcktes åtal mot 16 personer i vad som har beskrivits som en av de största gängrelaterade rättegångarna i Göteborg. De 16 personerna åtalades misstänkta för att på olika sätt ha varit inblandade i att planera, anstifta och genomföra mordet.  Totalt döms 13 personer efter mordet och fyra personer döms till livstids fängelse. Tre frias helt.  Ahmad Abdullah Alhag, 27, döms till livstid för förberedelse till mord och medhjälp till mord. Sebastian Jobe, 29, döms för förberedelse till mord och medhjälp till mord. Atila Can, 39, får livstid och döms för medhjälp till mord, förberedelse till mord samt grovt vapenbrott. Dodou Jallow, 22, får livstids fängelse för medhjälp till mord samt förberedelse till mord.  Åklagaren har tidigare beskrivit det som en väl planerad gärning där alla nio personer  har haft en viktig roll för att mordet skulle kunna genomföras.  Via den krypterade kommunikationstjänsten Encrochat hade gärningsmännen fått information om de tilltänkta mordoffren samt var den mördade mannen skulle kunna befinna sig. Under morddagen hade de gemensamt åkt runt i bilar och spanat kring platser där man hade fått information om att offret samt de tilltänkta skulle kunna finnas. Då en av bilarna stoppas återfanns även skottsäkra västar i bilen. Redan två timmar efter skotten lyckas polisen gripa nio personer. Polisen har i ett annat ärende span på en av de i dag dömda männen. Via hemlig tvångsmedel kan polisen följa mannens rörelsemönster och konstatera att han befunnit sig på mordplatsen vid tidpunkten för dådet. Polisen hittade även en bil som de misstänkte att gärningsmännen inte hann bränna upp.  I bilen hittade polisen två vapen men även en flaska med brännbar vätska i. De nio männen greps i maj, men då hade polis och åklagare inte tillgång till männens krypterade kontakter via Encrochat.  Via chattarna framgång att männen hade planer på att mörda ett flertal personer och att det mord som genomfördes var en slump. ",29,juli,2021,https://www.aftonbladet.se/nyheter/a/1742EK/man-skots-till-dods-i-gamlestaden--13-personer-doms
20, 06 maj 2019 kl. 11.54,Knivman döms för mord efter dåd i Göteborg,"Först höggs en ung man ner på öppen gata, sedan knivhotades en spårvagnsförare och till sist en kund inne i en butik. Nu döms en 45-årig man till 15 års fängelse för mord av  Göteborgs Det var i början av oktober som en 21-årig man attackerades i närheten av köpcentret Nordstan i centrala Göteborg. Han fick svåra knivskador och avled efter en vecka på sjukhus. De två männen kände inte varandra. Domstolen säger att mannen var så påverkad av alkohol och narkotika att han blev aggressiv mot människor han mötte. Den 45-årige gärningsmannen ska efter knivdådet ha åkt spårvagn en hållplats och hotat föraren, innan han med kniven i handen sprang in i köpcentret och hotade en person i en av butikerna. Strax därefter kunde han gripas av polisen. Han är tidigare dömd för ett stort antal vålds- och narkotikabrott. ",06,maj,2019,https://www.aftonbladet.se/nyheter/a/GGw7QV/knivman-doms-for-mord-efter-dad-i-goteborg
21, 26 februari 2019 kl. 20.30,NULL,Larmet inkom till polisen vid klockan 19.34 på tisdagen. En man i 40-årsåldern hade hittats död i en bostad i  Göteborg På grund av vissa skador på kroppen och omständigheter på platsen kan polisen inte utesluta brott. En förundersökning gällande mord alternativt dråp har därför inletts. Vilka omständigheter det är som gör att man inte kan utesluta brott vill polisen inte gå in på i nuläget. Platsen har spärrats av i väntan på teknisk undersökning. ,26,februari,2019,https://www.aftonbladet.se/nyheter/a/21Wv0G/man-har-hittats-dod-i-goteborg--polisen-misstanker-mord
22, 22 mars 2021 kl. 12.46,Gängledare sköts ihjäl på väg från födelsedagsfest,"Påväg hem från en födelsedagsfest sköts den 33-årige mannen ihjäl förra året.  Mannen, som pekas ut som en av ledarna för ett kriminellt nätverk, sköts med flera skott, minst nio, på en öppen gata i  Göteborg Nu åtalas 15 personer för att på olika sätt ha varit inblandade i mordet i fjol. Ytterligare en person är misstänkt men det är oklart om åtal kommer att väckas mot personen.  Det så kallade Gamlestadsärendet är en av de största gängrelaterade brottsutredningarna hittills i Göteborg.  Gärningsmännen spanade på sitt offer samtidigt som de höll utkik efter polisen. Sedan följde männen efter sitt brottsoffer och sköt ihjäl honom med minst ett tiotal skott med två olika vapen, framgår det i utredningen.  Enligt kammaråklagarna Stefan Lind och Linda Wiking var brottet en väl planerad gärning där var och en av de nio personerna haft en viktig roll. Enligt åklagarna har gärningsmännen kommunicerat krypterat med varandra via den krypterade kommunikationstjänsten Encrochat och på så vis kunnat samordna sig. Samtliga av de nio personerna åtalas också för förberedelse till mord på tre av den mördade mannens släktingar. Tre av dem åtalas även för att med hjälp av krypterade telefoner ha planerat gärningarna mot släktingarna under våren förra året.  Ytterligare två personer åtalas för anstiftan till mordet. Fyra andra personer åtalas för att ha varit delaktiga i mordet eller i förberedelser till mord som inte genomförts. Genom utredningen har de åtalade nekat till brott. ",22,mars,2021,https://www.aftonbladet.se/nyheter/a/86Opkd/gangledare-skots-ihjal-pa-vag-fran-fodelsedagsfest
23, 18 januari 2019 kl. 11.04,17-årig flicka åtalas för mord i Göteborg,"Det var en 32-årig man som sköts till döds i sin bil i stadsdelen  Göteborg En 20-årig man och en 17-årig flicka åtalas för att tillsammans ha utfört själva mordet. Enligt åklagaren höll de åtalade koll på 32-åringen genom en gps-sändare som satts fast på undersidan av hans bil. Vem eller vilka som placerat den där är oklart. Flickan som åtalas för mord var bara 16 år när mordet skedde. De två andra flickorna, som nu fyllt 17 respektive 18 år, åtalas för medhjälp till mord. Den mordåtalade 20-årige stockholmaren åtalas dessutom för grovt vapenbrott och förberedelse till mord i ett annat ärende vid Göteborgs tingsrätt. Bland övriga misstänkta i den senare utredningen finns en 17-årig stockholmare. Han är också häktad vid Stockholms tingsrätt, som en av flera unga misstänkta för ett mord på Lidingö i juni förra året. Offret på Lidingö var en 57-årig man, som även han sköts till döds. Vittnen har berättat att två personer flydde från mordplatsen i en bil. Åtal för mordet kan komma i början av februari. ",18,januari,2019,https://www.aftonbladet.se/nyheter/a/P3QXv6/17-arig-flicka-atalas-for-mord-i-goteborg
24, 23 augusti 2019 kl. 20.38,NULL,Polisen larmades till platsen vid halv sex-tiden på fredagseftermiddagen och fann mannen död i bostaden. Dödsfallet utreds som misstänkt mord tills omständigheterna klarnat. Åklagare har fattat beslut om att bostaden ska spärras av och platsen kommer att undersökas av kriminaltekniker ,23,augusti,2019,https://www.aftonbladet.se/nyheter/a/wP0JeL/man-hittad-dod-i-bostad-i-goteborg--polisen-misstanker-mord
25, 14 mars 2019 kl. 11.44,Två gripna för mord på göteborgare i Tanzania,"Två personer har gripits av tanzanisk polis misstänkta för mordet på en svensk man i 60-årsåldern, rapporterar Göteborgs-Posten. Mannen som sedan länge varit folkbokförd i Göteborg hittades död i sitt hem i staden  De två misstänkta nekar till brott. Polisen har vid en husrannsakan hittat en pistol som misstänks ha använts vid rånet, samt stöldgods i form av kontanter och elektronik. En förundersökning startade även i Sverige men lades ned efter att man säkerställt att en regelrätt mordutredning hade startat i  ",14,mars,2019,https://www.aftonbladet.se/nyheter/a/0EMX80/tva-gripna-for-mord-pa-goteborgare-i-tanzania
26, 06 maj 2020 kl. 11.45,Två häktade efter dödsskjutningen i Göteborg,"Två män har häktats misstänkta för inblandning i söndagens dödsskjutning i  Göteborg Männen misstänks för medhjälp till mord. Båda nekar till brott. Ytterligare åtta personer kommer att begäras häktade på torsdag, enligt polisen. Nio av de misstänkta har suttit anhållna misstänka för mord, den tionde för medhjälp till mord. ",06,maj,2020,https://www.aftonbladet.se/nyheter/a/qLa3GO/tva-haktade-efter-dodsskjutningen-i-goteborg
27, 07 maj 2020 kl. 16.36,Tio häktade för medhjälp efter gängmord,"Mordet skedde vid 19-tiden i söndags. Enligt flera medier blev mannen, som var i 30-årsåldern, beskjuten när han lämnade en sammankomst. De misstänkta greps inom några timmar och anhölls natten till måndagen. Hon vill inte ge några detaljer om mordutredningen, hur de tio misstänkta kunde gripas så snabbt, eller om hur bevisningen ser ut. En bil som setts lämna mordplatsen hittades senare i grannstadsdelen Kortedala. Åklagaren påpekar att utredarna fått god hjälp av tips från allmänheten. Två av de tio häktades på onsdagen, de övriga åtta på torsdagen. Åklagaren hade begärt nio av männen häktade för mord. I stället häktade  Göteborgs Häktningarna gäller i två veckor. Men utredningen kommer att ta betydligt längre tid än så, och det är mycket sannolikt att åklagaren begär förlängda häktningstider. ",07,maj,2020,https://www.aftonbladet.se/nyheter/a/6jQ8QQ/tio-haktade-for-medhjalp-efter-gangmord
28, 07 november 2019 kl. 11.22,Döms för mord trots att offret inte hittats,"Offret är spårlöst borta. Ändå döms en man i 40-årsåldern nu för mord, rapporterar  Göteborg Mannen döms till 14 års fängelse för att ha mördat en man i en lägenhet i Göteborg för tre år sedan. Han ska också betala 700 000 kronor i skadestånd, som till största delen går till mordoffrets barn. Han frias dock från åtalet om brott mot griftefriden. En man i 35-årsåldern, som också misstänkts ha varit inblandad, frias samtidigt från både mord och brott mot griftefriden. Enligt polisen och åklagaren mördades offret i september 2016. Kroppen ska sedan ha styckats och dumpats på okänd plats. De båda åtalade männen har hela tiden nekat till brott. ",07,november,2019,https://www.aftonbladet.se/nyheter/a/lAaLqy/doms-for-mord-trots-att-offret-inte-hittats
29, 03 november 2019 kl. 12.39,NULL,Polisen larmades efter att SOS fått rycka ut på att någon hittat en person som inte andades i Säve på Hisingen i  Göteborg Mannens liv gick inte att rädda och polisen har inlett en förundersökning för att reda ut om något brottsligt ligger bakom dödsfallet.  Mannen uppges ha varit i 30-årsåldern.  ,03,november,2019,https://www.aftonbladet.se/nyheter/a/4qlWwV/man-hittad-dod--utreds-som-mord
30, 08 juni 2020 kl. 14.58,NULL,En ung man hittades mördad utanför en förskola i  Göteborg Nu åtalas två män vid Göteborgs tingsrätt misstänkta för mord och rån. Enligt åklagaren skulle de två köpa narkotika av mannen men de hade inte för avsikt att betala. Ett tumult uppstod som slutade i att den unga mannen låg död på marken. En av de två åtalade medger att han utdelat knivhugg. De båda har kopplats till brottet bland annat genom en omfattande telefonanalys. ,08,juni,2020,https://www.aftonbladet.se/nyheter/a/4qMoOG/dodades-med-66-knivhugg--nu-atalas-tva-man
31, 30 april 2020 kl. 14.34,NULL,Strax före klockan 08 på torsdagen larmades polisen till Billdals kyrkogård i södra  Göteborg Enligt Aftonbladet finns det spår på platsen samt tydliga skador på kroppen och i ansiktet som tyder på att ett brott ligger bakom. Platsen spärrades av för teknisk undersökning. Händelsen utreds som mord alternativt dråp. Det finns ingen misstänkt i nuläget. ,30,april,2020,https://www.aftonbladet.se/nyheter/a/EWexna/man-hittad-dod-vid-kyrkogard--misstankt-mord
32, 05 mars 2020 kl. 16.13,NULL,"Under dagen i dag fick polisen ett samtal om att en död kvinna låg i en lägenhet i  Göteborg Man åkte dit och kunde konstatera att larmsamtalet stämde. En förundersökning gällande mord har nu inletts. Kriminaltekniker kallades till platsen och arbetar just nu i lägenheten, som är avspärrad. Kvinnan har troligen varit avliden ett tag, oklart hur länge, uppger polisen på sin hemsida. Ingen misstänkt gärningsman är gripen, men en utpekad person jagas just nu av polisen, erfar Aftonbladet. ",05,mars,2020,https://www.aftonbladet.se/nyheter/a/wPQgkP/kvinna-hittad-dod--polisen-misstanker-mord
33, 27 april 2020 kl. 20.37,17 år gammalt mordärende uppskjutet igen,"Det var i mars 2003 som en 31-årig kvinna hittades mördad i en grannes lägenhet i  Göteborg I stället tror utredarna att kvinnans exmake, en kinesisk affärsman, planerat båda morden. Den misstänkte mördaren är en annan kinesisk medborgare. Problemet är att ingen av dem går att hitta. Nästa vecka skulle hovrätten inleda sin rättegång mot exmaken, som efter många turer friades i tingsrätten för fyra år sedan. Men precis som vid de tidigare försöken har målet fått skjutas upp på grund av att mannen inte kunnat delges i Kina. Därmed har även det femte försöket att hålla rättegången i hovrätten misslyckats. Samtidigt är mannen som misstänks för morden fortsatt häktad i sin frånvaro och internationellt efterlyst. ",27,april,2020,https://www.aftonbladet.se/nyheter/a/Vbvbyr/17-ar-gammalt-mordarende-uppskjutet-igen
34,NULL,NULL,NULL,NULL,NULL,NULL,https://tv.aftonbladet.se/video/331661
35, 05 mars 2020 kl. 11.58,Fängelse och utvisning för dödligt knivhugg,En man i 20-årsåldern döms till fem års fängelse för grov misshandel och vållande till annans död. Mannen högg ihjäl en annan man på en parkeringsplats i centrala  Göteborg Mannen döms också till utvisning i 15 år. ,05,mars,2020,https://www.aftonbladet.se/nyheter/a/awobrM/fangelse-och-utvisning-for-dodligt-knivhugg
36, 15 december 2018 kl. 15.58,NULL,Vid 11-tiden på lördagsmorgonen larmas ambulans och polis till en lägenhet i Svartedalen i  Göteborg I lägenheten fanns då en man och kvinna som greps som misstänka för mord alternativ dråp. ,15,december,2018,https://www.aftonbladet.se/nyheter/a/e1n5lQ/misstankt-mord-i-goteborg-man-och-kvinna-gripna
37,NULL,NULL,NULL,NULL,NULL,NULL,https://tv.aftonbladet.se/video/274233
38, 15 december 2018 kl. 16.57,NULL,"En man i 20-årsåldern har hittats död i en lägenhet i Göteborg. Två personer, en man och en kvinna, som befann sig i lägenheten har gripits. Det var vid elvatiden på lördagen som polis och ambulans larmades till lägenheten på Hisingen. Där inledde ambulanspersonal hjärt- och lungräddning på mannen, men hans liv gick inte att rädda. Polisen kan inte utesluta att ett brott ligger bakom och en rättsmedicinsk obduktion kommer att göras. Platsen har spärrats av för teknisk undersökning och de gripna förhörs av polisen. ",15,december,2018,https://www.aftonbladet.se/nyheter/a/9mJ6vl/misstankt-mord-i-goteborg--tva-gripna
39, 06 maj 2020 kl. 11.50,Tre anhållna för mord vid kyrkogård,"Två män har anhållits på sannolika skäl misstänkta för mord på en medelålders man söder om  Göteborg Den medelålders mannen hittades död i anslutning till en kyrkogård i Billdal den 30 april. Kroppen låg helt öppet på vägen utanför kyrkogården. Den döde uppges vara är en man i 50-årsåldern, hemmahörande i västra Göteborg. ",06,maj,2020,https://www.aftonbladet.se/nyheter/a/LA79Jx/tre-anhallna-for-mord-vid-kyrkogard
40, 27 juli 2018 kl. 23.18,Misstänkt mord i Göteborg,"En kvinna i 35-årsåldern har hittats död i en lägenhet på Hisingen i Göteborg, skriver Aftonbladet. Larmet kom klockan 21.27. När polis kom till platsen påträffades en svårt skadad kvinna som därefter avled på plats. En man i 45-årsåldern har gripits misstänkt för mord. Enligt polisen ska det ha funnits en relation mellan honom och den döda kvinnan. Polisen håller nu förhör och tekniker genomför en undersökning på platsen. ",27,juli,2018,https://www.aftonbladet.se/nyheter/a/G1AxG4/misstankt-mord-i-goteborg
41, 20 december 2019 kl. 14.13,NULL,"Den 4 november i år skulle en markägare röja sly i ett skogsparti på sin mark i Älskogsbräcka i Onsala. Då hittade han kvarlevor efter en död människa. I sitt arbete att identifiera kroppen har polisen använt dna-teknik, och även vänt sig utomlands. Nu har polisen kommit fram till att kroppen tillhör en man i 70-årsåldern som var hemmahörande i  Göteborg Kungsbacka När mannen försvann för två år sedan utreddes det som olaga frihetsberövande, uppger polisen. Nu utreds fallet som misstänkt mord. Grova brottsrotlarna i Halland och Göteborg samarbetar nu med utredningen.  ",20,december,2019,https://www.aftonbladet.se/nyheter/a/GG2BKl/man-hittad-dod-pa-gard--forsvann-2017
42, 03 maj 2020 kl. 19.43,NULL,"Klockan 18.58 larmades polisen i  Göteborg Den skadade, en man i 30-årsåldern fördes till sjukhus där han senare kom att förklaras död. Polisen utreder nu mord och har genomfört en teknisk undersökning på platsen. Ingen är gripen och bilen är inte heller hittad. ",03,maj,2020,https://www.aftonbladet.se/nyheter/a/50Kbm6/man-ihjalskjuten-i-gamlestaden-sarskild-handelse
43,NULL,NULL,NULL,NULL,NULL,NULL,https://tv.aftonbladet.se/video/310690
44,NULL,NULL,NULL,NULL,NULL,NULL,https://www.aftonbladet.se/nyheter/a/KyoA7y/emma-30-talar-om-skjutningar-som-nagot-vardagligt
